Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     95.88     0.00       30     0.00     0.00  void std::vector<std::pair<int, leveldb::FileMetaData>, std::allocator<std::pair<int, leveldb::FileMetaData> > >::_M_emplace_back_aux<std::pair<int, leveldb::FileMetaData> >(std::pair<int, leveldb::FileMetaData>&&)
  0.00     95.88     0.00       28     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00     95.88     0.00       27     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::optional_last_value<void> >::dispose()
  0.00     95.88     0.00       27     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::optional_last_value<void> >::~sp_counted_impl_p()
  0.00     95.88     0.00       27     0.00     0.00  boost::system::system_error::what() const
  0.00     95.88     0.00       26     0.00     0.00  benchmark::BenchRunner::benchmarks[abi:cxx11]()
  0.00     95.88     0.00       26     0.00     0.00  __tcf_0
  0.00     95.88     0.00       17     0.00     0.00  boost::signals2::mutex::mutex()
  0.00     95.88     0.00       16     0.00     0.00  boost::date_time::gregorian_calendar_base<boost::date_time::year_month_day_base<boost::gregorian::greg_year, boost::gregorian::greg_month, boost::gregorian::greg_day>, unsigned int>::from_day_number(unsigned int)
  0.00     95.88     0.00       16     0.00     0.00  boost::gregorian::date::date(boost::gregorian::greg_year, boost::gregorian::greg_month, boost::gregorian::greg_day)
  0.00     95.88     0.00       16     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00     95.88     0.00       16     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_emplace_back_aux<double>(double&&)
